,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
134,castano primo,84.0,IT,1583267909.0,36.0,45.55,8.78,48.99,8.05
135,ponta delgada,75.0,PT,1583267630.0,93.0,37.73,-25.67,64.4,12.75
136,kodinsk,8.0,RU,1583267909.0,97.0,58.69,99.18,4.91,3.4
137,qaanaaq,100.0,GL,1583267910.0,59.0,77.48,-69.36,-14.46,2.71
138,juntas,73.0,CR,1583267910.0,52.0,10.28,-84.96,85.48,18.19
139,acarau,100.0,BR,1583267910.0,88.0,-2.89,-40.12,78.28,4.94
140,imuris,100.0,MX,1583267910.0,67.0,30.78,-110.87,53.01,3.0
141,kamaishi,65.0,JP,1583267910.0,84.0,39.27,141.88,32.5,3.13
142,sao joao da barra,75.0,BR,1583267726.0,78.0,-21.64,-41.05,78.8,8.05
143,abay,0.0,KZ,1583267911.0,84.0,49.63,72.85,8.6,8.95
144,faanui,99.0,PF,1583267911.0,82.0,-16.48,-151.75,80.31,7.65
145,saint anthony,75.0,US,1583267911.0,64.0,45.02,-93.22,42.8,16.11
146,trinidad,20.0,BO,1583267911.0,62.0,-14.83,-64.9,89.6,3.27
147,longyearbyen,75.0,SJ,1583267911.0,70.0,78.22,15.64,-2.2,1.12
148,rosetta,82.0,EG,1583267911.0,87.0,31.4,30.42,57.2,12.75
149,almaznyy,100.0,RU,1583267911.0,75.0,48.04,40.05,46.4,4.47
150,mayya,75.0,RU,1583267912.0,74.0,61.73,130.28,-23.8,2.24
151,nikolskoye,90.0,RU,1583267912.0,86.0,59.7,30.79,37.4,6.71
152,berlevag,75.0,NO,1583267912.0,86.0,70.86,29.09,26.6,8.05
153,cap malheureux,40.0,MU,1583267912.0,94.0,-19.98,57.61,78.8,4.5
154,sharjah,20.0,AE,1583267912.0,60.0,25.36,55.4,69.8,12.75
155,tuktoyaktuk,20.0,CA,1583267912.0,65.0,69.45,-133.04,-40.0,3.36
156,tuatapere,63.0,NZ,1583267912.0,61.0,-46.13,167.68,53.01,17.0
157,pimentel,0.0,PE,1583267913.0,29.0,-6.84,-79.93,66.2,20.8
158,bathsheba,20.0,BB,1583267913.0,69.0,13.22,-59.52,82.4,18.34
159,sorkjosen,0.0,NO,1583267913.0,61.0,69.8,20.93,25.9,17.27
160,tokur,97.0,RU,1583267913.0,96.0,53.13,132.9,5.14,1.3
161,pointe michel,40.0,DM,1583267913.0,61.0,15.25,-61.38,82.4,9.17
162,codajas,100.0,BR,1583267913.0,92.0,-3.84,-62.06,82.72,2.66
163,fasa,0.0,IR,1583267914.0,56.0,28.94,53.65,42.8,4.63
164,fortuna,75.0,US,1583267914.0,93.0,40.6,-124.16,66.99,10.29
165,carnarvon,0.0,AU,1583267914.0,100.0,-24.87,113.63,78.8,5.82
166,lhokseumawe,96.0,ID,1583267914.0,84.0,5.18,97.15,71.49,3.11
167,taoudenni,0.0,ML,1583267914.0,6.0,22.68,-3.98,78.93,11.25
168,paciran,100.0,ID,1583267914.0,95.0,-6.88,112.38,76.6,3.4
169,skelleftea,42.0,SE,1583267915.0,85.0,64.75,20.95,17.6,5.82
170,alofi,40.0,NU,1583267915.0,74.0,-19.06,-169.92,82.4,3.36
171,isiro,3.0,CD,1583267915.0,66.0,2.77,27.62,71.78,1.66
172,beringovskiy,0.0,RU,1583267915.0,58.0,63.05,179.32,3.65,10.36
173,waipawa,100.0,NZ,1583267632.0,93.0,-41.41,175.52,61.0,26.4
174,sawakin,0.0,SD,1583267915.0,64.0,19.11,37.33,69.8,6.93
175,sualkuchi,90.0,IN,1583267916.0,82.0,26.17,91.57,66.2,9.17
176,clyde river,75.0,CA,1583267916.0,75.0,70.47,-68.59,-14.8,2.24
177,talnakh,40.0,RU,1583267717.0,84.0,69.49,88.4,6.8,22.37
178,auki,77.0,SB,1583267916.0,77.0,-8.77,160.7,84.43,7.0
179,kahului,20.0,US,1583267916.0,65.0,20.89,-156.47,79.0,3.36
180,los llanos de aridane,75.0,ES,1583267916.0,72.0,28.66,-17.92,66.2,11.41
181,balikpapan,100.0,ID,1583267916.0,80.0,-1.27,116.83,81.91,15.05
182,bengkulu,100.0,ID,1583267917.0,86.0,-3.8,102.27,75.45,3.53
183,carambei,67.0,BR,1583267650.0,95.0,-24.92,-50.1,64.22,3.2
184,ballina,70.0,AU,1583267917.0,78.0,-28.87,153.57,77.0,10.29
185,kodiak,1.0,US,1583267917.0,57.0,57.79,-152.41,19.4,6.93
186,grindavik,40.0,IS,1583267917.0,92.0,63.84,-22.43,28.4,5.82
187,saskylakh,98.0,RU,1583267917.0,94.0,71.92,114.08,8.28,6.73
188,sur,0.0,OM,1583267918.0,63.0,22.57,59.53,70.03,2.66
189,lebu,0.0,CL,1583267918.0,48.0,-37.62,-73.65,70.47,8.99
